INDEX_NAME,INDEX_CODE,INDEX_DATE,CLOSE_INDEX_VALUE,NET_CHANGE,% CHANGE
S&P SmallCap 600 Pure Value (TR),600PVTR,15-Sep-15,8017.148404,120.4558786,0.015253966
S&P SmallCap 600 Pure Value (TR),600PVTR,16-Sep-15,8115.005705,97.85730131,0.012205998
S&P SmallCap 600 Pure Value (TR),600PVTR,17-Sep-15,8148.908801,33.90309548,0.004177828
S&P SmallCap 600 Pure Value (TR),600PVTR,18-Sep-15,7964.819719,-184.0890815,-0.022590642
S&P SmallCap 600 Pure Value (TR),600PVTR,21-Sep-15,8011.528825,46.70910598,0.005864427
S&P SmallCap 600 Pure Value (TR),600PVTR,22-Sep-15,7875.799024,-135.7298012,-0.01694181
S&P SmallCap 600 Pure Value (TR),600PVTR,23-Sep-15,7818.057788,-57.74123572,-0.007331477
S&P SmallCap 600 Pure Value (TR),600PVTR,24-Sep-15,7836.238036,18.18024713,0.002325417
S&P SmallCap 600 Pure Value (TR),600PVTR,25-Sep-15,7818.420284,-17.81775123,-0.002273763
S&P SmallCap 600 Pure Value (TR),600PVTR,28-Sep-15,7608.848302,-209.5719819,-0.026804901
S&P SmallCap 600 Pure Value (TR),600PVTR,29-Sep-15,7574.635046,-34.21325687,-0.004496509
S&P SmallCap 600 Pure Value (TR),600PVTR,30-Sep-15,7656.801717,82.16667146,0.010847608
S&P SmallCap 600 Pure Value (TR),600PVTR,1-Oct-15,7602.118155,-54.68356193,-0.007141828
S&P SmallCap 600 Pure Value (TR),600PVTR,2-Oct-15,7713.774253,111.6560979,0.014687498
S&P SmallCap 600 Pure Value (TR),600PVTR,5-Oct-15,8019.741005,305.9667522,0.039664987
